raw_data,packet_len,ad_cnt,ad_len,ad_type,label,classic_bluetooth,manufacturer_or_service
0201060303edfe0d16edfe020051fb4d80ea99a9bd050954696c84,54,4,"[2, 3, 13, 5]","['01', '03', '16', '09']",tracker,no,1
1eff4c001219200e7f8cb6bf68a3922fe4ae66a8f2bce29c61018c26480009,62,1,[30],['ff'],tracker,unknown,1
0201061bff2909c81c0d102233d584fc423377541da65cd715b53d4fda9a0c0909552d424c444f5859,82,3,"[2, 27, 9]","['01', 'ff', '09']",non_tracker,no,1
0201061bff2909c81c18102233d584fc4233775402fcd09b75abefcc0a9d580909552d424c444f5866,82,3,"[2, 27, 9]","['01', 'ff', '09']",non_tracker,no,1
1eff4c00121924d69bdce70a69be2c5cf0a8a8093735fda017cd5821f902160a0b4d4f4d415820425280,84,2,"[30, 10]","['ff', '0b']",tracker,unknown,1
07ff4c0012022405,16,1,[7],['ff'],tracker,unknown,1
02011a1bff8f031601148c40e4e45f00000005a46e46c76b780102030405060dff2717080302505e6e6bc74687,90,3,"[2, 27, 13]","['01', 'ff', 'ff']",non_tracker,yes,1
0201061bff2909c81c4b102233d584fc42337754edefd62badd37c0f696fa40909552d424c444f5858,82,3,"[2, 27, 9]","['01', 'ff', '09']",non_tracker,no,1
1eff7d02201901eb0402557d5767e1f830deae3b167c94c1adda6cd589b8ca,62,1,[30],['ff'],tracker,unknown,1
0201061bff2909c81c0d102233d584fc423377541da65cd715b53d4fda9a0c0909552d424c444f5805,82,3,"[2, 27, 9]","['01', 'ff', '09']",non_tracker,no,1
0201061bff2909c81c24102233d584fc423377540a9cb5d887caff424e36bc0909552d424c444f5867,82,3,"[2, 27, 9]","['01', 'ff', '09']",non_tracker,no,1
0201061bff2909c81c09102233d584fc423377547fc58ac685bbf7926c95c40909552d424c444f5859,82,3,"[2, 27, 9]","['01', 'ff', '09']",non_tracker,no,1
1eff06000109202259bfb2de23518956255579e6e91c20fe97e3dbcba5d657,62,1,[30],['ff'],non_tracker,unknown,1
1eff4c00121910000908a43dc523a0f2d037a0708e4e76f9e1f63e9fec0327,62,1,[30],['ff'],tracker,unknown,1
0201060f1695fe3058b81f004c939bcc5cc8081109696865616c74682e62706d2e62707828,74,3,"[2, 15, 17]","['01', '16', '09']",non_tracker,no,1
0201061bff2909c81c41102233d584fc4233775482bda334c88cb93f03eccb0909552d424c444f5857,82,3,"[2, 27, 9]","['01', 'ff', '09']",non_tracker,no,1
1eff4c00121910000908a43dc523a0f2d037a0708e4e76f9e1f63e9fec0371,62,1,[30],['ff'],tracker,unknown,1
0201041716eefd01010002c70300013504010b430f0111f3130672,54,2,"[2, 23]","['01', '16']",non_tracker,no,1
02010603021b1810161b180204b2070101001a2c0000f40106094d4942465309ff57018822b2f29938,82,5,"[2, 3, 16, 6, 9]","['01', '02', '16', '09', 'ff']",non_tracker,no,1
1eff0600010920026647d5e044e088d2b8444a320060bd1c8f0e4bd848d846,62,1,[30],['ff'],non_tracker,unknown,1
020106020a000302101808ff0e02012c0000001e09424c45536d6172745f3030303030333844433232374432453335304623,100,5,"[2, 2, 3, 8, 30]","['01', '0a', '02', 'ff', '09']",non_tracker,no,1
02010611072f2a93a6bdd84152ac0b10992ec6feed07ffe35b6c393dd40a09426173657573205409,80,4,"[2, 17, 7, 10]","['01', '07', 'ff', '09']",tracker,no,1
0201061bff2909c81c41102233d584fc4233775482bda334c88cb93f03eccb0909552d424c444f5838,82,3,"[2, 27, 9]","['01', 'ff', '09']",non_tracker,no,1
02011a1bff4c000c0e00c673c3bc1ee30c4be9fc92fb1b10063b1d2ff6f330,62,2,"[2, 27]","['01', 'ff']",non_tracker,yes,1
0201020b09426c654d6f64756c654109ff0000fc84d53322100000000000000909552d424c444f5826,82,3,"[2, 11, 9]","['01', '09', 'ff']",non_tracker,yes,1
0201061bff2909c81c02102233d584fc42337754a0de2eb3f06aaed89ae7af0909552d424c444f5818,82,3,"[2, 27, 9]","['01', 'ff', '09']",non_tracker,no,1
0201060303edfe0d16edfe020018807331e700cf21050954696c58,54,4,"[2, 3, 13, 5]","['01', '03', '16', '09']",tracker,no,1
0201061bff2909c81c18102233d584fc4233775402fcd09b75abefcc0a9d580909552d424c444f5859,82,3,"[2, 27, 9]","['01', 'ff', '09']",non_tracker,no,1
1eff4c00121910000908a43dc523a0f2d037a0708e4e76f9e1f63e9fec0378,62,1,[30],['ff'],tracker,unknown,1
02010611072f2a93a6bdd84152ac0b10992ec6feed07ffa3966c393dd40e0942617365757320543220507278,88,4,"[2, 17, 7, 14]","['01', '07', 'ff', '09']",tracker,no,1
02011a020a070cff4c0010073b1f2ff6f3bb28,38,3,"[2, 2, 12]","['01', '0a', 'ff']",non_tracker,yes,1
02011809ff75004016fd6c648211073a048f2ba97ea6ae1b49c619e973a4a71b0947616c6178792042756473204c69766520284644364329204c11,118,4,"[2, 9, 17, 27]","['01', 'ff', '07', '09']",non_tracker,yes,1
02010603021b1810161b1806a4b20701010001360000680106094d4942465309ff57018822b2f29919,82,5,"[2, 3, 16, 6, 9]","['01', '02', '16', '09', 'ff']",non_tracker,no,1
0201061bff2909c81c14102233d584fc4233775498a5b159c044465391d2970909552d424c444f5884,82,3,"[2, 27, 9]","['01', 'ff', '09']",non_tracker,no,1
02011a020a070cff4c001007371f2ff6f3bf48,38,3,"[2, 2, 12]","['01', '0a', 'ff']",non_tracker,yes,1
02011a020a070bff4c001006201a16cc4d54,36,3,"[2, 2, 11]","['01', '0a', 'ff']",non_tracker,yes,1
0201061bff2909c81c48102233d584fc42337754027610c7ff2c147b66206a0909552d424c444f5875,82,3,"[2, 27, 9]","['01', 'ff', '09']",non_tracker,no,1
1eff4c00121910b1b2e2323c5d53837eca76747491072e36ea390ffed40326,62,1,[30],['ff'],tracker,unknown,1
1eff4c00121910000908a43dc523a0f2d037a0708e4e76f9e1f63e9fec0307,62,1,[30],['ff'],tracker,unknown,1
